id	rate
34033	2.0
34035	2.0
34037	2.0
34039	2.0
34041	2.0
35001	1.0
35005	2.0
35006	1.0
35009	1.0
35013	1.0
35015	2.0
35017	1.0
35025	2.0
35028	1.0
35031	0.0
35035	1.0
35039	0.0
35041	1.0
35043	0.0
35045	1.0
35047	2.0
35049	1.0
35055	0.0
36001	1.0
36003	0.0
36005	1.0
36007	0.0
36009	0.0
36011	0.0
36013	0.0
36015	0.0
36017	1.0
36019	1.0
36021	0.0
36023	0.0
36027	1.0
36029	0.0
36033	0.0
36035	1.0
36037	0.0
36045	1.0
36047	1.0
36051	0.0
36053	1.0
36055	0.0
36057	1.0
36059	2.0
36061	2.0
36063	0.0
36065	1.0
36067	1.0
36069	0.0
36071	2.0
36075	0.0
36077	0.0
36079	1.0
36081	1.0
36083	1.0
36085	2.0
36087	2.0
36091	1.0
36093	1.0
36095	0.0
36101	0.0
36103	2.0
36105	1.0
36109	0.0
36111	1.0
36113	1.0
36117	0.0
36119	1.0
36121	0.0
37001	0.0
37007	1.0
37013	0.0
37019	1.0
37021	0.0
37023	1.0
37025	1.0
37027	0.0
37031	0.0
37035	1.0
37045	1.0
37047	0.0
37049	0.0
37051	1.0
37057	0.0
37061	0.0
37063	1.0
37065	1.0
37067	0.0
37071	1.0
37077	0.0
37081	0.0
37083	0.0
37085	1.0
37087	0.0
37089	0.0
37091	1.0
37097	1.0
37099	0.0
37101	1.0
37105	1.0
37107	0.0
37109	1.0
37111	0.0
37117	1.0
37119	1.0
37125	0.0
37127	1.0
37129	0.0
37133	1.0
37135	1.0
37139	0.0
37145	1.0
37147	1.0
37151	0.0
37153	2.0
37155	1.0
37157	0.0
37159	1.0
37161	0.0
37163	0.0
37165	1.0
37167	1.0
37171	0.0
37179	0.0
37181	0.0
37183	1.0
37189	0.0
37191	0.0
37193	0.0
37195	1.0
38015	0.0
38017	0.0
38035	0.0
38079	0.0
38101	0.0
39003	1.0
39005	0.0
39007	0.0
39009	0.0
39011	0.0
39013	0.0
39017	1.0
39023	1.0
39025	1.0
39027	0.0
39029	0.0
39031	0.0
39035	1.0
39037	1.0
39039	0.0
39041	1.0
39043	0.0
39045	0.0
39049	1.0
39053	0.0
39055	1.0
39057	1.0
39059	0.0
39061	1.0
39063	0.0
39075	0.0
39077	0.0
39081	0.0
39083	0.0
39085	1.0
39087	0.0
39089	0.0
39091	0.0
39093	0.0
39095	1.0
39097	1.0
39099	1.0
39101	0.0
39103	1.0
39107	0.0
39109	1.0
39113	1.0
39119	0.0
39129	1.0
39133	1.0
39139	0.0
39141	1.0
39143	1.0
39145	1.0
39147	0.0
39149	0.0
39151	0.0
39153	1.0
39155	1.0
39157	0.0
39159	1.0
39161	0.0
39165	1.0
39167	0.0
39169	0.0
39171	0.0
39173	0.0
40001	0.0
40009	1.0
40013	2.0
40017	1.0
40019	1.0
40021	0.0
40023	0.0
40027	1.0
40031	1.0
40035	0.0
40037	0.0
40039	1.0
40041	0.0
40047	2.0
40049	0.0
40051	0.0
40057	0.0
40065	0.0
40071	1.0
40075	0.0
40077	0.0
40079	0.0
40087	0.0
40089	0.0
40097	1.0
40101	1.0
40103	1.0
40109	1.0
40111	0.0
40113	1.0
40115	1.0
40119	1.0
40121	0.0
40123	0.0
40125	0.0
40127	0.0
40131	1.0
40133	1.0
40135	0.0
40137	1.0
40139	0.0
40143	1.0
40145	0.0
40147	0.0
40151	0.0
40153	1.0
41003	1.0
41005	0.0
41011	1.0
41017	1.0
41019	1.0
41029	1.0
41033	1.0
41035	1.0
41039	1.0
41043	1.0
41045	0.0
41047	0.0
41051	1.0
41065	1.0
41067	0.0
41071	1.0
42001	0.0
42003	1.0
42005	0.0
42007	0.0
42009	0.0
42011	1.0
42013	1.0
42015	1.0
42017	1.0
42019	1.0
42021	0.0
42025	1.0
42027	1.0
42029	2.0
42031	0.0
42033	0.0
42035	2.0
42037	2.0
42039	0.0
42041	1.0
42043	1.0
42045	2.0
42049	1.0
42051	0.0
42055	1.0
42059	0.0
42061	0.0
42063	0.0
42065	0.0
42069	1.0
42071	1.0
42073	0.0
42075	1.0
42077	2.0
42079	2.0
42081	1.0
42085	1.0
42087	0.0
42089	1.0
42091	2.0
42093	2.0
42095	2.0
42097	2.0
42101	2.0
42107	0.0
42111	0.0
42117	1.0
42119	0.0
42121	0.0
42123	0.0
42125	0.0
42127	0.0
42129	0.0
42131	1.0
42133	0.0
44003	1.0
44005	0.0
44007	1.0
44009	0.0
45003	1.0
45007	2.0
45013	1.0
45019	1.0
45021	1.0
45023	1.0
45027	0.0
45029	1.0
45031	1.0
45033	1.0
45041	2.0
45043	1.0
45045	1.0
45047	1.0
45049	0.0
45051	1.0
45053	1.0
45055	1.0
45057	2.0
45059	1.0
45063	2.0
45067	1.0
45071	1.0
45073	1.0
45075	1.0
45077	1.0
45079	1.0
45083	1.0
45085	0.0
45091	1.0
46011	0.0
46013	0.0
46029	0.0
46035	1.0
46065	1.0
46081	0.0
46099	1.0
46103	1.0
46121	0.0
46127	1.0
46135	1.0
47001	0.0
47003	1.0
47009	1.0
47011	2.0
47013	1.0
47015	0.0
47017	1.0
47019	1.0
47025	0.0
47029	1.0
47031	1.0
47035	0.0
47037	1.0
47039	0.0
47041	0.0
47043	1.0
47045	2.0
47049	1.0
47051	1.0
47053	0.0
47055	1.0
47059	0.0
47063	1.0
47065	1.0
47069	0.0
47071	0.0
47073	0.0
47077	2.0
47079	0.0
47083	0.0
47089	1.0
47093	1.0
47099	1.0
47103	0.0
47105	0.0
47107	1.0
47109	1.0
47113	1.0
47119	0.0
47123	1.0
47125	2.0
47131	1.0
47133	1.0
47135	0.0
47141	0.0
47145	0.0
47147	1.0
47149	1.0
47157	1.0
47163	0.0
47165	1.0
47167	1.0
47171	1.0
47177	1.0
47179	1.0
47181	0.0
47183	2.0
47185	1.0
47187	0.0
47189	2.0
48001	1.0
48005	2.0
48013	2.0
48015	0.0
48021	1.0
48023	1.0
48025	2.0
48027	1.0
48029	2.0
48037	1.0
48039	1.0
48041	1.0
48049	2.0
48061	2.0
48073	2.0
48075	0.0
48085	2.0
48089	0.0
48097	1.0
48113	1.0
48117	0.0
48121	2.0
48127	1.0
48133	0.0
48135	1.0
48139	1.0
48141	2.0
48143	1.0
48145	1.0
48149	0.0
48157	2.0
48161	2.0
48163	0.0
48167	1.0
48171	0.0
48177	1.0
48179	1.0
48181	1.0
48183	1.0
48187	1.0
48189	1.0
48193	0.0
48201	2.0
48203	1.0
48209	2.0
48211	0.0
48213	2.0
48215	1.0
48217	1.0
48219	1.0
48221	2.0
48223	0.0
48225	2.0
48227	2.0
48231	1.0
